time,value
2022-08-16 22:33:44,81.0
2022-08-16 22:34:45,56.0
2022-08-16 22:35:45,62.0
2022-08-16 22:36:45,62.0
2022-08-16 22:37:45,63.0
2022-08-16 22:38:45,50.0
2022-08-16 22:39:45,84.0
2022-08-16 22:40:45,73.0
2022-08-16 22:41:45,59.0
2022-08-16 22:42:45,53.0
2022-08-16 22:43:44,49.0
2022-08-16 22:44:45,59.0
2022-08-16 22:45:45,48.0
2022-08-16 22:46:45,59.0
2022-08-16 22:47:45,65.0
2022-08-16 22:48:45,62.0
2022-08-16 22:49:45,53.0
2022-08-16 22:50:45,60.0
2022-08-16 22:51:45,58.0
2022-08-16 22:52:45,55.0
2022-08-16 22:53:44,60.0
2022-08-16 22:54:45,72.0
2022-08-16 22:55:44,60.0
2022-08-16 22:56:45,59.0
2022-08-16 22:57:44,63.0
2022-08-16 22:58:44,56.0
2022-08-16 22:59:45,49.0
2022-08-16 23:00:45,59.0
2022-08-16 23:01:45,63.0
2022-08-16 23:02:45,52.0
2022-08-16 23:03:45,72.0
2022-08-16 23:04:45,53.0
2022-08-16 23:05:45,61.0
2022-08-16 23:06:46,54.0
2022-08-16 23:07:45,61.0
2022-08-16 23:08:45,59.0
2022-08-16 23:09:45,56.0
2022-08-16 23:10:45,64.0
2022-08-16 23:11:44,46.0
2022-08-16 23:12:44,62.0
2022-08-16 23:13:44,51.0
2022-08-16 23:14:44,70.0
2022-08-16 23:15:45,56.0
2022-08-16 23:16:44,52.0
2022-08-16 23:17:44,49.0
2022-08-16 23:18:44,48.0
2022-08-16 23:19:45,53.0
2022-08-16 23:20:45,42.0
2022-08-16 23:21:44,61.0
2022-08-16 23:22:44,43.0
2022-08-16 23:23:44,47.0
2022-08-16 23:24:45,58.0
2022-08-16 23:25:44,52.0
2022-08-16 23:26:45,55.0
2022-08-16 23:27:45,52.0
2022-08-16 23:28:45,63.0
2022-08-16 23:29:45,41.0
2022-08-16 23:30:45,44.0
2022-08-16 23:31:45,49.0
2022-08-16 23:32:45,57.0
2022-08-16 23:33:45,71.0
2022-08-16 23:34:45,38.0
2022-08-16 23:35:45,51.0
2022-08-16 23:36:45,53.0
2022-08-16 23:37:45,55.0
2022-08-16 23:38:45,49.0
2022-08-16 23:39:45,58.0
2022-08-16 23:40:45,67.0
2022-08-16 23:41:44,51.0
2022-08-16 23:42:45,44.0
2022-08-16 23:43:44,39.0
